Folder	ItemName	Lang	Ano	Generos
Meus Amigos Tigrão e Pooh	Meus Amigos Tigrão e Pooh	en	2007	Kids|Animação|Drama|Mistério|Action & Adventure
Mike Judges Beavis and Butt-Head	Beavis e Butt-Head	en	2022	Animação|Comédia
Miss Kuroitsu from the Monster Development Department	Miss KUROITSU from the Monster Development Department	ja	2022	Animação|Comédia|Sci-Fi & Fantasy
Mob Psycho 100	Mob Psycho 100	ja	2016	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy
Molly McGee e o Fantasma	Molly McGee e o Fantasma	en	2021	Animação|Sci-Fi & Fantasy|Kids
Momonstros	Momonstros	es	2020	Animação|Kids
Monstros no Trabalho	Monstros no Trabalho	en	2021	Família|Comédia|Animação
Moriarty the Patriot	Moriarty the Patriot	ja	2020	Animação|Mistério
Mr. Pickles	Mr. Pickles	en	2014	Comédia|Animação
My Little Pony - A Amizade é Mágica	My Little Pony:  A Amizade é Mágica	en	2010	Animação|Comédia|Sci-Fi & Fantasy|Kids
Napoleon Dynamite	Napoleon Dynamite	en	2012	Animação|Comédia
Naruto	Naruto	ja	2002	Animação|Action & Adventure|Sci-Fi & Fantasy
New Looney Tunes	New Looney Tunes	en	2015	Animação|Comédia|Família|Kids
Night Sky	Love Unseen Beneath the Clear Night Sky	ja	2026	Animação|Drama
No Game No Life	No Game, No Life	ja	2014	Animação|Sci-Fi & Fantasy|Action & Adventure|Comédia
Noragami	Noragami	ja	2014	Animação|Action & Adventure|Sci-Fi & Fantasy
O Incrível Mundo de Gumball	O Incrível Mundo de Gumball	en	2011	Animação|Família|Sci-Fi & Fantasy|Comédia
O Mundo dos Centauros	O Mundo dos Centauros	en	2021	Animação|Kids|Sci-Fi & Fantasy|Action & Adventure
O Mundo Maravilhoso de Mickey Mouse	O Mundo Maravilhoso de Mickey Mouse	en	2020	Animação|Família|Kids
O Ônibus Mágico Decola Novamente	O Ônibus Mágico Decola Novamente	en	2017	Kids|Animação
O Príncipe Dragão	O Príncipe Dragão	en	2018	Animação|Action & Adventure|Sci-Fi & Fantasy|Família
O Sangue de Zeus	O Sangue de Zeus	en	2020	Animação|Action & Adventure|Sci-Fi & Fantasy
O Surreal Mundo de Any Malu	O (Sur)real Mundo de Any Malu	pt	2015	Animação|Comédia
O Vazio	O Vazio	en	2018	Animação|Drama|Mistério|Sci-Fi & Fantasy
Odo	Odo	en	2021	Kids|Animação
One Punch Man	One-Punch Man	ja	2015	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
Operação Big Hero - A Série	Operação Big Hero: A Série	en	2017	Action & Adventure|Animação|Comédia|Família|Sci-Fi & Fantasy
Orient	Orient	ja	2022	Animação|Action & Adventure|Sci-Fi & Fantasy
Os Cavaleiros do Zodíaco	Os Cavaleiros do Zodíaco	ja	1986	Animação|Drama|Action & Adventure|Sci-Fi & Fantasy
Os Cavaleiros do Zodíaco (2019)	Os Cavaleiros do Zodíaco	ja	1986	Animação|Drama|Action & Adventure|Sci-Fi & Fantasy
Os Jovens Titãs em Ação	Os Jovens Titãs em Ação!	en	2013	Animação|Action & Adventure|Comédia|Família|Sci-Fi & Fantasy
Os Padrinhos Mágicos	Os Padrinhos Mágicos	en	2001	Animação|Comédia|Sci-Fi & Fantasy|Kids
Os Simpsons	Os Simpsons	en	1989	Animação|Comédia
Os Sustos Ocultos de Frankelda	Os Sustos Ocultos de Frankelda	es	2021	Animação
Os Vingadores - A Série	Os Vingadores: A Série	en	1999	Animação|Action & Adventure|Sci-Fi & Fantasy
Os Vizinhos Green	Os Vizinhos Green	en	2018	Família|Animação|Comédia
Our Last Crusade or the Rise of a New World	Our Last Crusade or the Rise of a New World	ja	2020	Animação|Action & Adventure|Sci-Fi & Fantasy|War & Politics
Overlord	Overlord	ja	2015	Animação|Sci-Fi & Fantasy|Action & Adventure
Panic	Full Metal Panic	ja	2002	Animação|Sci-Fi & Fantasy
Paradise Police	Paradise Police	en	2018	Comédia|Animação
Peter Grill and the Philosopher's Time	Peter Grill and the Philosopher's Time	ja	2020	Animação|Comédia|Sci-Fi & Fantasy
Phineas e Ferb	Phineas e Ferb	en	2007	Animação|Comédia|Família|Sci-Fi & Fantasy
Pinky e o Cérebro	Pinky e o Cérebro	en	1995	Animação|Comédia|Família|Sci-Fi & Fantasy|Kids
Players	Power Players	en	2019	Action & Adventure|Comédia|Animação|Kids
Plunderer	Plunderer	ja	2020	Action & Adventure|Sci-Fi & Fantasy|Animação
Princesinha Sofia	Princesinha Sofia	en	2013	Família|Animação|Kids
Prisma	Pelo Prisma do Amor	ja	2026	Animação|Drama
Pui Pui - Porquinhos com Rodinhas	Pui Pui - Porquinhos com Rodinhas	ja	2021	Animação|Kids
Radiant	RADIANT	ja	2018	Action & Adventure|Animação|Comédia|Sci-Fi & Fantasy
Ranking of Kings	Ranking of Kings	ja	2021	Animação|Action & Adventure|Sci-Fi & Fantasy
Reboot	ReBoot	en	1994	Sci-Fi & Fantasy|Animação|Action & Adventure|Kids
Record of Ragnarok	Record of Ragnarok	ja	2021	Action & Adventure|Animação|Sci-Fi & Fantasy
Recursos Humanos	Recursos Humanos	en	2022	Animação|Comédia
Resident Evil - No Escuro Absoluto	Resident Evil: No Escuro Absoluto	ja	2021	Animação|Drama|Action & Adventure|Sci-Fi & Fantasy
Rick e Morty	Rick e Morty	en	2013	Animação|Comédia|Sci-Fi & Fantasy|Action & Adventure
RILAKKUMA (2026)	RILAKKUMA	ja	2026	Animação|Kids
Rumble Garanndoll	Gyakuten Sekai no Denchi Shoujo	ja	2021	Animação|Action & Adventure|Sci-Fi & Fantasy
Samurai Jack	Samurai Jack	en	2001	Sci-Fi & Fantasy|Action & Adventure|Animação
Santo	Santo Bugito	en	1995	Animação
Scarlet Nexus	Scarlet Nexus	ja	2021	Animação|Action & Adventure|Sci-Fi & Fantasy
Scooby Doo Cadê Você_	Scooby-Doo, Cadê Você?	en	1969	Animação|Mistério|Comédia|Família|Sci-Fi & Fantasy
Seraph of the End Vampire Reign	Seraph of the End	ja	2015	Animação|Action & Adventure|Sci-Fi & Fantasy
Sereno - O Panda Zen	Sereno: O Panda Zen	en	2020	Kids|Animação
Shadows House	SHADOWS HOUSE	ja	2021	Animação|Mistério|Sci-Fi & Fantasy
Shadowverse	Shadowverse	ja	2020	Animação|Action & Adventure|Sci-Fi & Fantasy
SHAMAN KING (2021)	Shaman King	ja	2021	Animação|Comédia|Sci-Fi & Fantasy|Action & Adventure
SK8 the Infinity	SK8 the Infinity	ja	2021	Animação|Action & Adventure
Snoopy no Espaço	Snoopy no Espaço: À Procura de Vida	en	2019	Animação|Kids
Solar Opposites	Solar Opposites	en	2020	Comédia|Animação|Sci-Fi & Fantasy
Sonic Prime	Sonic Prime	en	2022	Animação|Action & Adventure|Sci-Fi & Fantasy|Kids
Sonny Boy	Sonny Boy	ja	2021	Animação|Drama|Mistério|Sci-Fi & Fantasy
South Park	South Park	en	1997	Animação|Comédia
Spidey e Seus Amigos Espetaculares	Spidey e Seus Amigos Espetaculares	en	2021	Animação|Kids|Sci-Fi & Fantasy|Action & Adventure
Spirit - Cavalgando Livre	Spirit - Cavalgando Livre	en	2017	Animação|Action & Adventure|Família|Faroeste
Star Wars - Forças do Destino	Star Wars: Forças do Destino	en	2017	Animação|Sci-Fi & Fantasy|Action & Adventure|Família
Star Wars - Histórias dos Jedi	Star Wars: Histórias dos Jedi	en	2022	Animação|Sci-Fi & Fantasy|Action & Adventure
Star Wars - Rebels	Star Wars: Rebels	en	2014	Action & Adventure|Animação|Sci-Fi & Fantasy
Star Wars - The Bad Batch	Star Wars: The Bad Batch	en	2021	Animação|Action & Adventure|Sci-Fi & Fantasy
Star Wars - Visions	Star Wars: Visions	en	2021	Animação|Sci-Fi & Fantasy|Action & Adventure
Steins Gate	Steins;Gate	ja	2011	Animação|Sci-Fi & Fantasy|Mistério|Comédia
Steins Gate 0	Steins;Gate 0	ja	2018	Sci-Fi & Fantasy|Animação|Drama
Steven Universo	Steven Universo	en	2013	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy|Família
Super Choque	Super Choque	en	2000	Action & Adventure|Animação|Sci-Fi & Fantasy|Kids
Super Cub	Super Cub	ja	2021	Animação|Comédia
Super Dragon Ball Heroes	Super Dragon Ball Heroes	ja	2018	Animação|Action & Adventure|Sci-Fi & Fantasy
Super Drags	Super Drags	pt	2018	Animação|Comédia
Super Monsters Monster Pets	Super Monstros: Pet-Monstros	en	2019	Animação|Kids
Sylvanian Families	Sylvanian Families	en	1987	Animação|Kids
Tainá e os Guardiões da Amazônia	Tainá e os Guardiões da Amazônia	pt	2018	Animação|Kids
Talking Tom and Friends	Talking Tom and Friends	en	2014	Animação|Comédia|Kids
Teen Titans	Os Jovens Titãs em Ação!	en	2013	Animação|Action & Adventure|Comédia|Família|Sci-Fi & Fantasy
Teenage Euthanasia	Teenage Euthanasia	en	2021	Comédia|Animação
Tenkuu Shinpan	Tenku Shinpan - Sem Saída	ja	2021	Animação|Mistério|Action & Adventure
The Big Show Show	The Big Lez Show	en	2012	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy
The Boys Apresenta - Diabólicos	The Boys Apresenta: Diabólicos	en	2022	Animação|Action & Adventure
The Day I Became a God	The Day I Became a God	ja	2020	Animação|Comédia|Drama|Sci-Fi & Fantasy
The Deep	Sob O Mar	en	2015	Kids|Família|Animação|Action & Adventure
The Great North	The Great North	en	2021	Animação|Comédia
The Journey of Elaina	Wandering Witch: The Journey of Elaina	ja	2020	Animação|Action & Adventure|Sci-Fi & Fantasy|Comédia
